id,age,gender,switch.h2w,switch.w2h,gcos.auto,gcos.cont,gcos.impe,mvs.intrinsic,mvs.integrated,mvs.identified,mvs.introjected,mvs.external,mvs.amotivation,triptype,info,familiarity,choice,time
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,H2F,F,R,1,4.72
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,W2H,V,R,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,H2W,V,P,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,W2F,B,L,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,H2F,C,P,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,W2H,C,R,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,H2W,F,P,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,W2F,F,R,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,H2F,V,P,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,W2H,F,R,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,H2W,C,R,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,W2F,C,R,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,H2F,B,L,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,W2H,F,P,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,H2W,C,P,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,W2F,F,P,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,H2F,F,P,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,W2H,B,L,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,H2W,B,L,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,W2F,C,P,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,H2F,F,R,1,50
8,35,Female,Once a week,Once a week,6.25,4.08,3.67,2.25,4.75,5,2,1,1.25,W2H,V,P,1,50
